1946	4093000
1947	4176000
1948	4275000
1949	4378000
1950	4471000
1951	4598000
1952	4788000
1953	4941000
1954	5115000
1955	5266000
1956	5405000
1957	5636000
1958	5821000
1959	5969000
1960	6111000
1961	6158000
1962	6236000
1963	6395000
1964	6535000
1965	6687000
1966	6849000
1967	7025000
1968	7186000
